s2id,latitude,longitude,label,sublabel,iso3
8fd4bb8d,0.988432,-79.644511,Puerto Pesquero de Esmeraldas ,,ECU
8fd4ed1d,0.86513,-79.877532,Desembarcadero Sua,,ECU
8fd506bb,0.505884,-80.024615,Desembarcadero Mompiche,,ECU
8fd57f73,0.045628,-80.076567,Desembarcadero La Chorrera ,,ECU
902a7ad9,-0.137146,-80.233529,Desembarcadero Don Juan,,ECU
902a7e59,-0.047841,-80.14169,Desembaercadero Cabuyal,,ECU
902bc165,-0.845742,-80.533453,Puerto Pesquero de Crucita ,,ECU
902be625,-0.943165,-80.63848,Puerto Pesquero de Jaramijó ,,ECU
902be7b3,-0.928244,-80.663692,Puerto Atún Grupo PH,,ECU
902be653,-0.931898,-80.668268,Puerto Astiesmar,,ECU
902be6c7,-0.949959,-80.709251,Desembarcadero Playita Mia,,ECU
902be12d,-0.93939,-80.726222,Puerto De Manta,,ECU
902be1e3,-0.957178,-80.80765,Puerto Pesquero de San Mateo,,ECU
902c1fa7,-1.476726,-80.768207,Desembarcacdero Machalilla,,ECU
902e9e17,-1.560865,-80.823523,Puerto Pesquero de Puerto Lopez,,ECU
902e9dcf,-1.592306,-80.84482,Desembarcadero Salango,,ECU
902dd96b,-2.019893,-80.738324,Desembarcadero Palmar ,,ECU
902e0ec5,-2.220105,-80.911992,Puerto La Libertad ,,ECU
902e0e65,-2.209322,-80.949948,Facilidad Pesquera de Santa Rosa,,ECU
902e0699,-2.331688,-80.889127,Puerto Pesquero Anconcito,,ECU
902df8ed,-2.406649,-80.692384,Desembarcadero Chanduy,,ECU
902d6e4d,-2.223945,-79.886315,Puerto Pesquero Guayaquil,,ECU
90326797,-2.718594,-80.2454,Puerto Pesquero Posorja,,ECU
90326fbd,-2.608364,-80.304339,Puerto Pesquero  el Morro,,ECU
90330eb5,-3.269903,-80.003724,Puerto Pesquero Puerto Bolívar,,ECU
